电影名,电影年份,电影封面,导演,得分,评价人数,精彩评论
第六感 The Sixth Sense,(1999),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg,M·奈特·沙马兰,8.9,565355人评价,深入内心的恐怖，出人意料的结局。
重庆森林 重慶森林,(1994),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg,王家卫,8.8,824670人评价,寂寞没有期限。
勇敢的心 Braveheart,(1995),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg,梅尔·吉布森,8.9,564364人评价,史诗大片的典范。
超能陆战队 Big Hero 6,(2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896589512.jpg,唐·霍尔 / 克里斯·威廉姆斯,8.7,1031358人评价,Balalala~~~
甜蜜蜜,(1996),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,陈可辛,8.9,567248人评价,相逢只要一瞬间，等待却像是一辈子。
幽灵公主 もののけ姫,(1997),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg,宫崎骏,8.9,532176人评价,人与自然的战争史诗。
爱在日落黄昏时 Before Sunset,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,理查德·林克莱特,8.9,572776人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天 菊次郎の夏,(1999),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,北野武,8.9,605530人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,(2010),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,米林宏昌,8.9,562943人评价,曾经的那段美好会沉淀为一辈子的记忆。
消失的爱人 Gone Girl,(2014),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,大卫·芬奇,8.7,970955人评价,年度最佳date movie。
寄生虫 기생충,(2019),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,奉俊昊,8.8,1391286人评价,null
阳光灿烂的日子,(1994),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,姜文,8.8,623366人评价,一场华丽的意淫。
天使爱美丽 Le fabuleux destin d'Amélie Poulain,(2001),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg,让-皮埃尔·热内,8.7,962672人评价,法式小清新。
完美的世界 A Perfect World,(1993),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,克林特·伊斯特伍德,9.1,320607人评价,坏人的好总是比好人的好来得更感人。
小森林 夏秋篇 リトル・フォレスト 夏・秋,(2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,森淳一,9.0,431765人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。
倩女幽魂,(1987),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,程小东,8.8,748687人评价,两张绝世的脸。
无人知晓 誰も知らない,(2004),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,是枝裕和,9.1,324637人评价,我的平常生活就是他人的幸福。
时空恋旅人 About Time,(2013),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg,理查德·柯蒂斯,8.8,687899人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
侧耳倾听 耳をすませば,(1995),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg,近藤喜文,8.9,470266人评价,少女情怀总是诗。
未麻的部屋 Perfect Blue,(1997),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,今敏,9.1,345220人评价,好的剧本是，就算你猜到了结局也猜不到全部。
幸福终点站 The Terminal,(2004),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,史蒂文·斯皮尔伯格,8.8,580655人评价,有时候幸福需要等一等。
驯龙高手 How to Train Your Dragon,(2010),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,迪恩·德布洛斯 / 克里斯·桑德斯,8.8,767540人评价,和谐的生活离不开摸头与被摸头。
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,(2005),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,迈克·内威尔,8.8,676383人评价,null
